211016.00, 51.504283,-0.076089,8.80,
211017.00, 51.504281,-0.076088,8.98,
211018.00, 51.505086,-0.075553,9.58,
211019.00, 51.505063,-0.075474,9.59,
211020.00, 51.505108,-0.075392,9.63,
211021.00, 51.505148,-0.075404,9.64,
211022.00, 51.505193,-0.075373,9.66,
211023.00, 51.505217,-0.075456,9.65,
211024.00, 51.505765,-0.075082,9.93,
211025.00, 51.505743,-0.074993,9.95,
211026.00, 51.505838,-0.074899,10,
211027.00, 51.505872,-0.074909,10.01,
211028.00, 51.505897,-0.074993,10,
211029.00, 51.506899,-0.074324,10.97,
211030.00, 51.506899,-0.074324,10.97,
211031.00, 51.507109,-0.074204,11.93,
211032.00, 51.508483,-0.073923,13.89,
211033.00, 51.508749,-0.073844,13.05,
211034.00, 51.508733,-0.0737,13.02,
211035.00, 51.508731,-0.07368,13.01,
211036.00, 51.508832,-0.073678,12.76,
211037.00, 51.508874,-0.073615,12.64,
211038.00, 51.508887,-0.073637,12.6,
211039.00, 51.508915,-0.07368,12.53,
211040.00, 51.508928,-0.073697,12.49,
211041.00, 51.509051,-0.07365,12.19,
211042.00, 51.509116,-0.073537,12.13,
211043.00, 51.509052,-0.073457,12.32,
211044.00, 51.509102,-0.073332,12.39,
211045.00, 51.509204,-0.073367,12.23,
211046.00, 51.509267,-0.07339,12.1,
211047.00, 51.509278,-0.073372,12.12,
211048.00, 51.509322,-0.073427,11.95,
211049.00, 51.509322,-0.073484,11.84,
211050.00, 51.509504,-0.073516,12.75,
211051.00, 51.509577,-0.073452,13.41,
211052.00, 51.509577,-0.073452,13.41,
211053.00, 51.509591,-0.073439,14.08,
211054.00, 51.509684,-0.073366,15.47,
211055.00, 51.509978,-0.073017,20.17,
211056.00, 51.510092,-0.072935,21.88,
211057.00, 51.510135,-0.072793,22.78,
211058.00, 51.51018,-0.07276,23.45,
211059.00, 51.510189,-0.072654,23.83,
211060.00, 51.51021,-0.072641,24.14,
21110.00, 51.510247,-0.072641,24.63,
21111.00, 51.510274,-0.072565,24.87,
21112.00, 51.510375,-0.072626,25.1,
21113.00, 51.510515,-0.072634,25.43,
21114.00, 51.510512,-0.072854,25.06,
21115.00, 51.510539,-0.072856,25.15,
21116.00, 51.510553,-0.07284,25.19,
21117.00, 51.511019,-0.072865,26.36,
21118.00, 51.511102,-0.072926,26.59,
21119.00, 51.51112,-0.072976,26.68,
211110.00, 51.511132,-0.072969,26.65,
211111.00, 51.51116,-0.072952,26.43,
211112.00, 51.511119,-0.072857,26.68,
211113.00, 51.511119,-0.072857,26.68,
211114.00, 51.51116,-0.072952,26.43,
211115.00, 51.51121,-0.07323,26.3,
211116.00, 51.51119,-0.074747,33.18,
211117.00, 51.51119,-0.074747,33.18,
211118.00, 51.511189,-0.07476,34.06,
211119.00, 51.511174,-0.074987,36.94,
211120.00, 51.511147,-0.074955,36.76,
211121.00, 51.511049,-0.075044,34.69,
211122.00, 51.510671,-0.074923,28.57,
211123.00, 51.510647,-0.074915,28.06,
211124.00, 51.510612,-0.074904,27.32,
211125.00, 51.510253,-0.074806,20.52,
211126.00, 51.510248,-0.074829,20.4,
211127.00, 51.510225,-0.07494,19.88,
211128.00, 51.510218,-0.074976,19.78,
211129.00, 51.510101,-0.07492,18.78,
211130.00, 51.510052,-0.074971,18.1,
211131.00, 51.510038,-0.075028,17.68,
211132.00, 51.510004,-0.07501,17.32,
211133.00, 51.509867,-0.074835,15.97,
211134.00, 51.509853,-0.074823,16,
211135.00, 51.509878,-0.074746,16.09,
211136.00, 51.50987,-0.074736,16.08,
211137.00, 51.509833,-0.074674,15.68,
211138.00, 51.509815,-0.074589,15.5,
211139.00, 51.509831,-0.074538,15.73,
211140.00, 51.509847,-0.074493,15.97,
211141.00, 51.509624,-0.074201,12.74,
